voltage_18_2_16_3	absJ_18_2_16_3	J_18_2_16_3	current_18_2_16_3	time_18_2_16_3	
0.000000E+0	1.469922E-6	-1.469922E-6	-2.793543E-12	0.000000E+0
5.000000E-2	2.788102E-5	2.788102E-5	5.298704E-11	7.031250E-1
1.000000E-1	4.922794E-5	4.922794E-5	9.355620E-11	1.406250E+0
1.500000E-1	1.290807E-4	1.290807E-4	2.453139E-10	2.521484E+0
2.000000E-1	1.470725E-4	1.470725E-4	2.795069E-10	2.889648E+0
2.500000E-1	1.992995E-4	1.992995E-4	3.787627E-10	3.258789E+0
3.000000E-1	3.054426E-4	3.054426E-4	5.804843E-10	3.626953E+0
3.500000E-1	3.772950E-4	3.772950E-4	7.170377E-10	3.995117E+0
4.000000E-1	3.296086E-4	3.296086E-4	6.264111E-10	4.364258E+0
4.500000E-1	5.697239E-4	5.697239E-4	1.082743E-9	5.479492E+0
5.000000E-1	6.959422E-4	6.959422E-4	1.322617E-9	5.846680E+0
5.000000E-1	5.994440E-4	5.994440E-4	1.139225E-9	6.214844E+0
4.500000E-1	5.300747E-4	5.300747E-4	1.007391E-9	6.582031E+0
4.000000E-1	4.964476E-4	4.964476E-4	9.434835E-10	7.324219E+0
3.500000E-1	3.629393E-4	3.629393E-4	6.897551E-10	7.692383E+0
3.000000E-1	2.656440E-4	2.656440E-4	5.048484E-10	8.060547E+0
2.500000E-1	2.047527E-4	2.047527E-4	3.891263E-10	8.429688E+0
2.000000E-1	1.857539E-4	1.857539E-4	3.530196E-10	8.797852E+0
1.500000E-1	1.298602E-4	1.298602E-4	2.467954E-10	9.166016E+0
1.000000E-1	8.262584E-5	8.262584E-5	1.570279E-10	9.535156E+0
5.000000E-2	3.769348E-5	3.769348E-5	7.163531E-11	1.070996E+1
0.000000E+0	4.989584E-7	-4.989584E-7	-9.482554E-13	1.141309E+1
-5.000000E-2	3.651699E-5	-3.651699E-5	-6.939943E-11	1.211621E+1
-1.000000E-1	8.429253E-5	-8.429253E-5	-1.601954E-10	1.323242E+1
-1.500000E-1	1.294626E-4	-1.294626E-4	-2.460397E-10	1.360059E+1
-2.000000E-1	1.862757E-4	-1.862757E-4	-3.540114E-10	1.396875E+1
-2.500000E-1	2.219640E-4	-2.219640E-4	-4.218358E-10	1.433691E+1
-3.000000E-1	2.845584E-4	-2.845584E-4	-5.407945E-10	1.470605E+1
-3.500000E-1	3.265650E-4	-3.265650E-4	-6.206268E-10	1.507422E+1
-4.000000E-1	3.860881E-4	-3.860881E-4	-7.337487E-10	1.544238E+1
-4.500000E-1	4.350253E-4	-4.350253E-4	-8.267523E-10	1.581152E+1
-5.000000E-1	5.266151E-4	-5.266151E-4	-1.000816E-9	1.617969E+1
-5.000000E-1	5.638712E-4	-5.638712E-4	-1.071620E-9	1.766211E+1
-4.500000E-1	5.014512E-4	-5.014512E-4	-9.529927E-10	1.840332E+1
-4.000000E-1	4.313872E-4	-4.313872E-4	-8.198383E-10	1.877148E+1
-3.500000E-1	3.755812E-4	-3.755812E-4	-7.137807E-10	1.914063E+1
-3.000000E-1	3.406586E-4	-3.406586E-4	-6.474113E-10	1.950879E+1
-2.500000E-1	2.600397E-4	-2.600397E-4	-4.941975E-10	1.987695E+1
-2.000000E-1	2.191957E-4	-2.191957E-4	-4.165748E-10	2.024609E+1
-1.500000E-1	1.567289E-4	-1.567289E-4	-2.978586E-10	2.061426E+1
-1.000000E-1	9.861857E-5	-9.861857E-5	-1.874216E-10	2.098242E+1
-5.000000E-2	2.935729E-5	-2.935729E-5	-5.579263E-11	2.215820E+1
0.000000E+0	9.216953E-8	9.216953E-8	1.751654E-13	2.286133E+1
0.000000E+0	9.312030E-7	-9.312030E-7	-1.769723E-12	2.356445E+1
5.000000E-2	7.546782E-6	7.546782E-6	1.434243E-11	2.426758E+1
1.000000E-1	1.765617E-5	1.765617E-5	3.355501E-11	2.497070E+1
1.500000E-1	2.954081E-5	2.954081E-5	5.614142E-11	2.567383E+1
