voltage_9_1_1	absJ_9_1_1	J_9_1_1	current_9_1_1	time_9_1_1	
0.000000E+0	3.507068E-6	-3.507068E-6	-4.896791E-12	0.000000E+0
5.000000E-2	1.001010E-6	1.001010E-6	1.397674E-12	7.031250E-1
1.000000E-1	5.035543E-6	5.035543E-6	7.030945E-12	1.406250E+0
1.500000E-1	9.839977E-6	9.839977E-6	1.373920E-11	2.109375E+0
2.000000E-1	1.517707E-5	1.517707E-5	2.119118E-11	2.813477E+0
2.500000E-1	2.144723E-5	2.144723E-5	2.994598E-11	3.516602E+0
3.000000E-1	2.874184E-5	2.874184E-5	4.013118E-11	4.219727E+0
3.500000E-1	3.776428E-5	3.776428E-5	5.272888E-11	4.922852E+0
4.000000E-1	4.681113E-5	4.681113E-5	6.536067E-11	5.625977E+0
4.500000E-1	5.853535E-5	5.853535E-5	8.173077E-11	6.329102E+0
5.000000E-1	7.132365E-5	7.132365E-5	9.958660E-11	7.032227E+0
5.000000E-1	7.276564E-5	7.276564E-5	1.016000E-10	7.735352E+0
4.500000E-1	6.261966E-5	6.261966E-5	8.743354E-11	8.438477E+0
4.000000E-1	4.641505E-5	4.641505E-5	6.480763E-11	9.141602E+0
3.500000E-1	3.784066E-5	3.784066E-5	5.283553E-11	9.844727E+0
3.000000E-1	3.088943E-5	3.088943E-5	4.312978E-11	1.054785E+1
2.500000E-1	2.390386E-5	2.390386E-5	3.337609E-11	1.125098E+1
2.000000E-1	1.782955E-5	1.782955E-5	2.489475E-11	1.195410E+1
1.500000E-1	1.088565E-5	1.088565E-5	1.519923E-11	1.265723E+1
1.000000E-1	5.702248E-6	5.702248E-6	7.961840E-12	1.336035E+1
5.000000E-2	1.183613E-6	1.183613E-6	1.652636E-12	1.406348E+1
0.000000E+0	2.646808E-6	-2.646808E-6	-3.695641E-12	1.476660E+1
-5.000000E-2	6.245317E-6	-6.245317E-6	-8.720108E-12	1.546973E+1
-1.000000E-1	9.799190E-6	-9.799190E-6	-1.368225E-11	1.617285E+1
-1.500000E-1	1.346847E-5	-1.346847E-5	-1.880553E-11	1.687598E+1
-2.000000E-1	1.735978E-5	-1.735978E-5	-2.423883E-11	1.757910E+1
-2.500000E-1	2.156954E-5	-2.156954E-5	-3.011676E-11	1.828223E+1
-3.000000E-1	2.577410E-5	-2.577410E-5	-3.598744E-11	1.898535E+1
-3.500000E-1	3.146253E-5	-3.146253E-5	-4.392998E-11	1.968848E+1
-4.000000E-1	3.766708E-5	-3.766708E-5	-5.259317E-11	2.039160E+1
-4.500000E-1	4.537184E-5	-4.537184E-5	-6.335105E-11	2.109473E+1
-5.000000E-1	5.193924E-5	-5.193924E-5	-7.252086E-11	2.179785E+1
-5.000000E-1	4.837479E-5	-4.837479E-5	-6.754394E-11	2.250098E+1
-4.500000E-1	4.086261E-5	-4.086261E-5	-5.705496E-11	2.320410E+1
-4.000000E-1	3.552681E-5	-3.552681E-5	-4.960478E-11	2.390723E+1
-3.500000E-1	3.002022E-5	-3.002022E-5	-4.191614E-11	2.461035E+1
-3.000000E-1	2.640928E-5	-2.640928E-5	-3.687431E-11	2.531348E+1
-2.500000E-1	2.196636E-5	-2.196636E-5	-3.067083E-11	2.601660E+1
-2.000000E-1	1.769817E-5	-1.769817E-5	-2.471130E-11	2.671973E+1
-1.500000E-1	1.350240E-5	-1.350240E-5	-1.885291E-11	2.742285E+1
-1.000000E-1	9.848429E-6	-9.848429E-6	-1.375100E-11	2.812598E+1
-5.000000E-2	6.181517E-6	-6.181517E-6	-8.631026E-12	2.882910E+1
0.000000E+0	2.392135E-6	-2.392135E-6	-3.340050E-12	2.953223E+1
