voltage_1_1	absJ_1_1	J_1_1	current_1_1	time_1_1	
0.000000E+0	1.921592E-7	1.921592E-7	1.142475E-12	0.000000E+0
-5.000000E-2	3.176798E-6	-3.176798E-6	-1.888753E-11	7.138672E-1
-1.000000E-1	6.005283E-6	-6.005283E-6	-3.570418E-11	1.427734E+0
-1.500000E-1	9.974242E-6	-9.974242E-6	-5.930147E-11	2.141602E+0
-2.000000E-1	1.585051E-5	-1.585051E-5	-9.423862E-11	3.114258E+0
-2.500000E-1	2.226349E-5	-2.226349E-5	-1.323667E-10	3.486328E+0
-3.000000E-1	2.975232E-5	-2.975232E-5	-1.768913E-10	3.858398E+0
-3.500000E-1	3.790404E-5	-3.790404E-5	-2.253570E-10	4.230469E+0
-4.000000E-1	4.740492E-5	-4.740492E-5	-2.818441E-10	4.602539E+0
-4.500000E-1	5.636713E-5	-5.636713E-5	-3.351286E-10	4.974609E+0
-5.000000E-1	6.795350E-5	-6.795350E-5	-4.040149E-10	5.346680E+0
-5.000000E-1	6.299032E-5	-6.299032E-5	-3.745065E-10	5.718750E+0
-4.500000E-1	4.962774E-5	-4.962774E-5	-2.950598E-10	6.090820E+0
-4.000000E-1	3.932484E-5	-3.932484E-5	-2.338043E-10	6.461914E+0
-3.500000E-1	3.160708E-5	-3.160708E-5	-1.879187E-10	6.833984E+0
-3.000000E-1	2.467714E-5	-2.467714E-5	-1.467170E-10	7.206055E+0
-2.500000E-1	1.789715E-5	-1.789715E-5	-1.064068E-10	7.578125E+0
-2.000000E-1	1.371830E-5	-1.371830E-5	-8.156160E-11	8.767578E+0
-1.500000E-1	8.192777E-6	-8.192777E-6	-4.870984E-11	9.482422E+0
-1.000000E-1	2.966969E-6	-2.966969E-6	-1.764000E-11	1.019629E+1
-5.000000E-2	2.699306E-6	-2.699306E-6	-1.604862E-11	1.091016E+1
0.000000E+0	7.910238E-7	7.910238E-7	4.703002E-12	1.162402E+1
5.000000E-2	1.616804E-6	1.616804E-6	9.612644E-12	1.233789E+1
1.000000E-1	1.152996E-5	1.152996E-5	6.855094E-11	1.305176E+1
1.500000E-1	6.908010E-6	6.908010E-6	4.107131E-11	1.376562E+1
2.000000E-1	1.044602E-5	1.044602E-5	6.210644E-11	1.447949E+1
2.500000E-1	1.822723E-5	1.822723E-5	1.083693E-10	1.579297E+1
3.000000E-1	2.708427E-5	2.708427E-5	1.610285E-10	1.616504E+1
3.500000E-1	3.678803E-5	3.678803E-5	2.187218E-10	1.653711E+1
4.000000E-1	4.654153E-5	4.654153E-5	2.767109E-10	1.690918E+1
4.500000E-1	5.795234E-5	5.795234E-5	3.445534E-10	1.728125E+1
5.000000E-1	7.147329E-5	7.147329E-5	4.249417E-10	1.765332E+1
5.000000E-1	7.521071E-5	7.521071E-5	4.471624E-10	1.802539E+1
4.500000E-1	6.036838E-5	6.036838E-5	3.589179E-10	1.839648E+1
4.000000E-1	4.632025E-5	4.632025E-5	2.753953E-10	1.876855E+1
3.500000E-1	3.690614E-5	3.690614E-5	2.194240E-10	1.914063E+1
3.000000E-1	2.858454E-5	2.858454E-5	1.699483E-10	1.951270E+1
2.500000E-1	2.174650E-5	2.174650E-5	1.292930E-10	1.988477E+1
2.000000E-1	1.249108E-5	1.249108E-5	7.426521E-11	2.107422E+1
1.500000E-1	9.576525E-6	9.576525E-6	5.693686E-11	2.178809E+1
1.000000E-1	7.922625E-6	7.922625E-6	4.710366E-11	2.250195E+1
5.000000E-2	4.268742E-6	4.268742E-6	2.537964E-11	2.321582E+1
0.000000E+0	2.377528E-7	2.377528E-7	1.413550E-12	2.392969E+1
0.000000E+0	1.973842E-6	-1.973842E-6	-1.173540E-11	2.464355E+1
-5.000000E-2	2.853017E-6	-2.853017E-6	-1.696250E-11	2.535742E+1
-1.000000E-1	6.533183E-6	-6.533183E-6	-3.884279E-11	2.607129E+1
-1.500000E-1	1.011457E-5	-1.011457E-5	-6.013576E-11	2.678516E+1
-2.000000E-1	1.302156E-5	-1.302156E-5	-7.741918E-11	2.750000E+1
-2.500000E-1	1.915019E-5	-1.915019E-5	-1.138567E-10	2.847168E+1
-3.000000E-1	2.542378E-5	-2.542378E-5	-1.511561E-10	2.884375E+1
-3.500000E-1	3.459607E-5	-3.459607E-5	-2.056896E-10	2.921582E+1
-4.000000E-1	4.137302E-5	-4.137302E-5	-2.459817E-10	2.958789E+1
-4.500000E-1	5.035835E-5	-5.035835E-5	-2.994036E-10	2.995996E+1
-5.000000E-1	6.251702E-5	-6.251702E-5	-3.716925E-10	3.033203E+1
-5.000000E-1	5.984097E-5	-5.984097E-5	-3.557822E-10	3.070410E+1
-4.500000E-1	4.951570E-5	-4.951570E-5	-2.943937E-10	3.107617E+1
-4.000000E-1	3.948439E-5	-3.948439E-5	-2.347529E-10	3.144824E+1
-3.500000E-1	3.174810E-5	-3.174810E-5	-1.887571E-10	3.182031E+1
-3.000000E-1	2.529092E-5	-2.529092E-5	-1.503662E-10	3.219238E+1
-2.500000E-1	1.908362E-5	-1.908362E-5	-1.134609E-10	3.256445E+1
-2.000000E-1	1.272296E-5	-1.272296E-5	-7.564389E-11	3.375391E+1
-1.500000E-1	9.511364E-6	-9.511364E-6	-5.654945E-11	3.446777E+1
-1.000000E-1	6.628627E-6	-6.628627E-6	-3.941025E-11	3.518164E+1
-5.000000E-2	3.070810E-6	-3.070810E-6	-1.825738E-11	3.589551E+1
