voltage_7_3	absJ_7_3	J_7_3	current_7_3	time_7_3	
0.000000E+0	3.105619E-8	3.105619E-8	2.885053E-13	0.000000E+0
-5.000000E-2	3.602527E-7	-3.602527E-7	-3.346670E-12	7.148438E-1
-1.000000E-1	8.073909E-7	-8.073909E-7	-7.500486E-12	1.428711E+0
-1.500000E-1	1.043879E-6	-1.043879E-6	-9.697410E-12	2.142578E+0
-2.000000E-1	1.463890E-6	-1.463890E-6	-1.359922E-11	2.856445E+0
-2.500000E-1	1.793370E-6	-1.793370E-6	-1.666002E-11	3.570313E+0
-3.000000E-1	2.375065E-6	-2.375065E-6	-2.206384E-11	4.284180E+0
-3.500000E-1	2.895845E-6	-2.895845E-6	-2.690177E-11	4.998047E+0
-4.000000E-1	3.576727E-6	-3.576727E-6	-3.322702E-11	5.711914E+0
-4.500000E-1	4.640900E-6	-4.640900E-6	-4.311296E-11	6.425781E+0
-5.000000E-1	5.200923E-6	-5.200923E-6	-4.831545E-11	7.139648E+0
-5.000000E-1	5.348588E-6	-5.348588E-6	-4.968723E-11	7.854492E+0
-4.500000E-1	4.128675E-6	-4.128675E-6	-3.835450E-11	8.568359E+0
-4.000000E-1	3.365328E-6	-3.365328E-6	-3.126317E-11	9.282227E+0
-3.500000E-1	2.803753E-6	-2.803753E-6	-2.604626E-11	9.996094E+0
-3.000000E-1	2.336781E-6	-2.336781E-6	-2.170819E-11	1.070996E+1
-2.500000E-1	1.787236E-6	-1.787236E-6	-1.660304E-11	1.142383E+1
-2.000000E-1	1.256734E-6	-1.256734E-6	-1.167479E-11	1.213770E+1
-1.500000E-1	9.703518E-7	-9.703518E-7	-9.014359E-12	1.285156E+1
-1.000000E-1	6.332676E-7	-6.332676E-7	-5.882919E-12	1.356543E+1
-5.000000E-2	2.687558E-7	-2.687558E-7	-2.496683E-12	1.427930E+1
0.000000E+0	1.639978E-8	1.639978E-8	1.523504E-13	1.499316E+1
5.000000E-2	3.219498E-7	3.219498E-7	2.990844E-12	1.570703E+1
1.000000E-1	5.817692E-7	5.817692E-7	5.404510E-12	1.642090E+1
1.500000E-1	9.461392E-7	9.461392E-7	8.789428E-12	1.713477E+1
2.000000E-1	1.116238E-6	1.116238E-6	1.036961E-11	1.784863E+1
2.500000E-1	1.754962E-6	1.754962E-6	1.630322E-11	1.856250E+1
3.000000E-1	2.244754E-6	2.244754E-6	2.085328E-11	1.927637E+1
3.500000E-1	3.156361E-6	3.156361E-6	2.932191E-11	1.999023E+1
4.000000E-1	3.936492E-6	3.936492E-6	3.656916E-11	2.070410E+1
4.500000E-1	4.644281E-6	4.644281E-6	4.314437E-11	2.141797E+1
5.000000E-1	5.918426E-6	5.918426E-6	5.498090E-11	2.213184E+1
5.000000E-1	6.225842E-6	6.225842E-6	5.783672E-11	2.284473E+1
4.500000E-1	4.882976E-6	4.882976E-6	4.536179E-11	2.355859E+1
4.000000E-1	3.933385E-6	3.933385E-6	3.654029E-11	2.427246E+1
3.500000E-1	2.775008E-6	2.775008E-6	2.577922E-11	2.498633E+1
3.000000E-1	2.074524E-6	2.074524E-6	1.927188E-11	2.570020E+1
2.500000E-1	1.837069E-6	1.837069E-6	1.706597E-11	2.641406E+1
2.000000E-1	1.396368E-6	1.396368E-6	1.297196E-11	2.712695E+1
1.500000E-1	9.507701E-7	9.507701E-7	8.832449E-12	2.784082E+1
1.000000E-1	5.435962E-7	5.435962E-7	5.049891E-12	2.855469E+1
5.000000E-2	4.972516E-8	4.972516E-8	4.619360E-13	2.926855E+1
0.000000E+0	1.158157E-7	-1.158157E-7	-1.075903E-12	2.998242E+1
