voltage_4_2_6	absJ_4_2_6	J_4_2_6	current_4_2_6	time_4_2_6	
0.000000E+0	1.420677E-8	1.420677E-8	1.319778E-13	0.000000E+0
5.000000E-2	6.622055E-8	6.622055E-8	6.151746E-13	6.025391E-1
1.000000E-1	1.436885E-7	1.436885E-7	1.334835E-12	1.206055E+0
1.500000E-1	2.377161E-7	2.377161E-7	2.208331E-12	1.809570E+0
2.000000E-1	3.467571E-7	3.467571E-7	3.221298E-12	2.413086E+0
2.500000E-1	7.086277E-7	7.086277E-7	6.582998E-12	3.016602E+0
3.000000E-1	1.141429E-6	1.141429E-6	1.060363E-11	3.619141E+0
3.500000E-1	1.511794E-6	1.511794E-6	1.404424E-11	4.222656E+0
4.000000E-1	1.831758E-6	1.831758E-6	1.701664E-11	4.826172E+0
4.500000E-1	3.100080E-6	3.100080E-6	2.879907E-11	5.429688E+0
5.000000E-1	3.462248E-6	3.462248E-6	3.216354E-11	6.032227E+0
5.000000E-1	2.726692E-6	2.726692E-6	2.533038E-11	6.635742E+0
4.500000E-1	1.771670E-6	1.771670E-6	1.645843E-11	7.239258E+0
4.000000E-1	1.473975E-6	1.473975E-6	1.369291E-11	7.842773E+0
3.500000E-1	1.078536E-6	1.078536E-6	1.001937E-11	8.446289E+0
3.000000E-1	7.198408E-7	7.198408E-7	6.687165E-12	9.049805E+0
2.500000E-1	1.037867E-5	1.037867E-5	9.641560E-11	9.652344E+0
2.000000E-1	1.185936E-5	-1.185936E-5	-1.101709E-10	1.080273E+1
1.500000E-1	2.347866E-6	2.347866E-6	2.181117E-11	1.177832E+1
1.000000E-1	6.728150E-7	-6.728150E-7	-6.250306E-12	1.238086E+1
5.000000E-2	5.801812E-7	-5.801812E-7	-5.389758E-12	1.298437E+1
0.000000E+0	2.627325E-7	-2.627325E-7	-2.440728E-12	1.358789E+1
-5.000000E-2	1.213057E-7	-1.213057E-7	-1.126904E-12	1.419141E+1
-1.000000E-1	3.706307E-8	-3.706307E-8	-3.443079E-13	1.479492E+1
-1.500000E-1	6.082169E-8	-6.082169E-8	-5.650203E-13	1.539844E+1
-2.000000E-1	2.691965E-8	-2.691965E-8	-2.500777E-13	1.600195E+1
-2.500000E-1	2.329013E-7	-2.329013E-7	-2.163603E-12	1.660449E+1
-3.000000E-1	3.884915E-7	-3.884915E-7	-3.609002E-12	1.720801E+1
-3.500000E-1	4.847031E-7	-4.847031E-7	-4.502787E-12	1.781152E+1
-4.000000E-1	8.345928E-7	-8.345928E-7	-7.753187E-12	1.841504E+1
-4.500000E-1	1.473722E-6	-1.473722E-6	-1.369056E-11	1.901855E+1
-5.000000E-1	1.438140E-6	-1.438140E-6	-1.336001E-11	1.962207E+1
-5.000000E-1	9.869173E-7	-9.869173E-7	-9.168249E-12	2.022461E+1
-4.500000E-1	7.015184E-7	-7.015184E-7	-6.516954E-12	2.082813E+1
-4.000000E-1	4.349047E-7	-4.349047E-7	-4.040171E-12	2.143164E+1
-3.500000E-1	2.822918E-7	-2.822918E-7	-2.622430E-12	2.203516E+1
