voltage_4_7	absJ_4_7	J_4_7	current_4_7	time_4_7	
0.000000E+0	1.860922E-8	1.860922E-8	1.728756E-13	0.000000E+0
5.000000E-2	1.122155E-7	1.122155E-7	1.042458E-12	6.025391E-1
1.000000E-1	2.159682E-7	2.159682E-7	2.006298E-12	1.206055E+0
1.500000E-1	2.983600E-7	2.983600E-7	2.771700E-12	1.809570E+0
2.000000E-1	5.170590E-7	5.170590E-7	4.803366E-12	2.413086E+0
2.500000E-1	7.910254E-7	7.910254E-7	7.348455E-12	3.016602E+0
3.000000E-1	1.049469E-6	1.049469E-6	9.749340E-12	3.619141E+0
3.500000E-1	1.327393E-6	1.327393E-6	1.233119E-11	4.222656E+0
4.000000E-1	1.660776E-6	1.660776E-6	1.542825E-11	4.826172E+0
4.500000E-1	2.043219E-6	2.043219E-6	1.898106E-11	5.429688E+0
5.000000E-1	2.480260E-6	2.480260E-6	2.304108E-11	6.033203E+0
5.000000E-1	2.502966E-6	2.502966E-6	2.325201E-11	6.635742E+0
4.500000E-1	1.976820E-6	1.976820E-6	1.836423E-11	7.239258E+0
4.000000E-1	1.836838E-6	1.836838E-6	1.706383E-11	7.842773E+0
3.500000E-1	1.594477E-6	1.594477E-6	1.481235E-11	8.446289E+0
3.000000E-1	1.316487E-6	1.316487E-6	1.222988E-11	9.048828E+0
2.500000E-1	9.825418E-7	9.825418E-7	9.127601E-12	9.652344E+0
2.000000E-1	6.608924E-7	6.608924E-7	6.139547E-12	1.025586E+1
1.500000E-1	4.153589E-7	4.153589E-7	3.858594E-12	1.085938E+1
1.000000E-1	2.473515E-7	2.473515E-7	2.297842E-12	1.146191E+1
5.000000E-2	1.336840E-7	1.336840E-7	1.241895E-12	1.206543E+1
0.000000E+0	2.412611E-8	2.412611E-8	2.241263E-13	1.266895E+1
-5.000000E-2	6.533767E-8	-6.533767E-8	-6.069728E-13	1.327246E+1
-1.000000E-1	1.213984E-7	-1.213984E-7	-1.127765E-12	1.387598E+1
-1.500000E-1	2.136407E-7	-2.136407E-7	-1.984676E-12	1.447949E+1
-2.000000E-1	3.646702E-8	-3.646702E-8	-3.387707E-13	1.508301E+1
-2.500000E-1	6.907983E-8	-6.907983E-8	-6.417367E-13	1.568652E+1
-3.000000E-1	1.201928E-7	-1.201928E-7	-1.116565E-12	1.628906E+1
-3.500000E-1	1.892188E-7	-1.892188E-7	-1.757802E-12	1.689258E+1
-4.000000E-1	2.480776E-7	-2.480776E-7	-2.304587E-12	1.749609E+1
-4.500000E-1	3.004589E-7	-3.004589E-7	-2.791198E-12	1.809961E+1
-5.000000E-1	3.657173E-7	-3.657173E-7	-3.397435E-12	1.870215E+1
-5.000000E-1	3.538500E-7	-3.538500E-7	-3.287190E-12	1.930566E+1
-4.500000E-1	2.557068E-7	-2.557068E-7	-2.375461E-12	1.990918E+1
-4.000000E-1	1.874067E-7	-1.874067E-7	-1.740968E-12	2.051270E+1
-3.500000E-1	1.320362E-7	-1.320362E-7	-1.226588E-12	2.111621E+1
-3.000000E-1	1.141606E-7	-1.141606E-7	-1.060527E-12	2.171973E+1
-2.500000E-1	5.592774E-8	-5.592774E-8	-5.195566E-13	2.232227E+1
-2.000000E-1	2.403497E-8	-2.403497E-8	-2.232797E-13	2.292578E+1
-1.500000E-1	3.851214E-9	-3.851214E-9	-3.577694E-14	2.352930E+1
-1.000000E-1	1.456081E-8	1.456081E-8	1.352668E-13	2.413281E+1
-5.000000E-2	2.092623E-8	2.092623E-8	1.944001E-13	2.473535E+1
0.000000E+0	3.040188E-8	3.040188E-8	2.824269E-13	2.533887E+1
