J	logJ	Histogram	Fit				
1.2589e-08	-7.9	24	30.114
1.9953e-08	-7.7	25	34.309
3.1623e-08	-7.5	45	38.337
5.0119e-08	-7.3	32	42.016
7.9433e-08	-7.1	46	45.163
1.2589e-07	-6.9	44	47.614
1.9953e-07	-6.7	86	49.233
3.1623e-07	-6.5	48	49.929
5.0119e-07	-6.3	73	49.663
7.9433e-07	-6.1	27	48.449
1.2589e-06	-5.9	26	46.357
1.9953e-06	-5.7	45	43.503
3.1623e-06	-5.5	33	40.041
5.0119e-06	-5.3	12	36.146
7.9433e-06	-5.1	49	32.003
1.2589e-05	-4.9	35	27.791
1.9953e-05	-4.7	34	23.67
3.1623e-05	-4.5	14	19.773
5.0119e-05	-4.3	18	16.2
7.9433e-05	-4.1	7	13.018
0.00012589	-3.9	19	10.259
0.00019953	-3.7	28	7.9304
0.00031623	-3.5	0	6.0124
0.00050119	-3.3	0	4.4707
0.00079433	-3.1	1	3.2604
0.0012589	-2.9	0	2.3321
0.0019953	-2.7	0	1.6361
0.0031623	-2.5	0	1.1258
0.0050119	-2.3	0	0.75972
0.0079433	-2.1	0	0.50285
0.012589	-1.9	0	0.32644
0.019953	-1.7	0	0.20785
0.031623	-1.5	0	0.12979
0.050119	-1.3	0	0.079497
0.079433	-1.1	0	0.047755
0.12589	-0.9	0	0.028136
0.19953	-0.7	0	0.016259
0.31623	-0.5	0	0.0092148
0.50119	-0.3	0	0.0051223
0.79433	-0.1	0	0.0027926
1.2589	0.1	0	0.0014933
1.9953	0.3	0	0.00078316
3.1623	0.5	0	0.00040284
5.0119	0.7	0	0.00020323
7.9433	0.9	0	0.00010056
12.589	1.1	0	4.8802e-05
19.953	1.3	0	2.3229e-05
31.623	1.5	0	1.0844e-05
50.119	1.7	0	4.9652e-06
79.433	1.9	1	2.2298e-06
