J	logJ	Histogram	Fit				
1.2589e-08	-7.9	0	0.39908
1.9953e-08	-7.7	1	1.0278
3.1623e-08	-7.5	1	2.4196
5.0119e-08	-7.3	1	5.2068
7.9433e-08	-7.1	1	10.242
1.2589e-07	-6.9	3	18.415
1.9953e-07	-6.7	8	30.264
3.1623e-07	-6.5	15	45.466
5.0119e-07	-6.3	85	62.435
7.9433e-07	-6.1	139	78.37
1.2589e-06	-5.9	87	89.921
1.9953e-06	-5.7	66	94.309
3.1623e-06	-5.5	80	90.413
5.0119e-06	-5.3	85	79.23
7.9433e-06	-5.1	38	63.466
1.2589e-05	-4.9	58	46.469
1.9953e-05	-4.7	49	31.102
3.1623e-05	-4.5	14	19.027
5.0119e-05	-4.3	31	10.641
7.9433e-05	-4.1	24	5.4391
0.00012589	-3.9	11	2.5414
0.00019953	-3.7	1	1.0855
0.00031623	-3.5	0	0.42377
0.00050119	-3.3	0	0.15123
0.00079433	-3.1	0	0.049332
0.0012589	-2.9	0	0.014709
0.0019953	-2.7	0	0.0040092
0.0031623	-2.5	0	0.00099884
0.0050119	-2.3	0	0.00022747
0.0079433	-2.1	0	4.7351e-05
0.012589	-1.9	0	9.0099e-06
0.019953	-1.7	0	1.5671e-06
0.031623	-1.5	0	2.4915e-07
0.050119	-1.3	0	3.6208e-08
0.079433	-1.1	0	4.8099e-09
0.12589	-0.9	0	5.8405e-10
0.19953	-0.7	0	6.4826e-11
0.31623	-0.5	0	6.5771e-12
0.50119	-0.3	0	6.0996e-13
0.79433	-0.1	0	5.1707e-14
1.2589	0.1	0	4.0067e-15
1.9953	0.3	0	2.8379e-16
3.1623	0.5	0	1.8374e-17
5.0119	0.7	0	1.0874e-18
7.9433	0.9	0	5.8826e-20
12.589	1.1	0	2.9089e-21
19.953	1.3	0	1.3148e-22
31.623	1.5	0	5.4324e-24
50.119	1.7	0	2.0516e-25
79.433	1.9	0	7.0826e-27
