J	logJ	Histogram	Fit				
1.2589e-08	-7.9	140	113.34
1.9953e-08	-7.7	73	109.93
3.1623e-08	-7.5	118	103.41
5.0119e-08	-7.3	97	94.348
7.9433e-08	-7.1	76	83.49
1.2589e-07	-6.9	53	71.656
1.9953e-07	-6.7	60	59.649
3.1623e-07	-6.5	70	48.158
5.0119e-07	-6.3	43	37.711
7.9433e-07	-6.1	44	28.641
1.2589e-06	-5.9	13	21.098
1.9953e-06	-5.7	5	15.073
3.1623e-06	-5.5	3	10.445
5.0119e-06	-5.3	1	7.0197
7.9433e-06	-5.1	0	4.5757
1.2589e-05	-4.9	2	2.8928
1.9953e-05	-4.7	0	1.7739
3.1623e-05	-4.5	0	1.055
5.0119e-05	-4.3	0	0.60852
7.9433e-05	-4.1	0	0.34044
0.00012589	-3.9	0	0.18473
0.00019953	-3.7	0	0.097217
0.00031623	-3.5	0	0.049623
0.00050119	-3.3	0	0.024567
0.00079433	-3.1	0	0.011796
0.0012589	-2.9	0	0.0054935
0.0019953	-2.7	0	0.0024813
0.0031623	-2.5	0	0.001087
0.0050119	-2.3	0	0.00046188
0.0079433	-2.1	0	0.00019034
0.012589	-1.9	0	7.6081e-05
0.019953	-1.7	0	2.9494e-05
0.031623	-1.5	0	1.109e-05
0.050119	-1.3	0	4.0441e-06
0.079433	-1.1	0	1.4304e-06
0.12589	-0.9	0	4.907e-07
0.19953	-0.7	0	1.6327e-07
0.31623	-0.5	0	5.2687e-08
0.50119	-0.3	0	1.649e-08
0.79433	-0.1	0	5.006e-09
1.2589	0.1	0	1.4739e-09
1.9953	0.3	0	4.2089e-10
3.1623	0.5	0	1.1657e-10
5.0119	0.7	0	3.1315e-11
7.9433	0.9	0	8.1589e-12
12.589	1.1	0	2.0617e-12
19.953	1.3	0	5.0531e-13
31.623	1.5	0	1.2012e-13
50.119	1.7	0	2.7694e-14
79.433	1.9	0	6.1928e-15
