Voltage	mu1	sigma1	Gerrup1	Gerrdn1					
-0.5	9.3438e-06	3.4855	3.2568e-05	2.6807e-06
-0.45	7.7776e-06	3.3125	2.5763e-05	2.348e-06
-0.4	7.0272e-06	3.5269	2.4784e-05	1.9925e-06
-0.35	6.4862e-06	3.8823	2.5182e-05	1.6707e-06
-0.3	5.5555e-06	3.9664	2.2035e-05	1.4006e-06
-0.25	4.4476e-06	3.84	1.7079e-05	1.1582e-06
-0.2	3.7733e-06	4.3475	1.6404e-05	8.6793e-07
-0.15	2.7847e-06	4.2139	1.1735e-05	6.6084e-07
-0.1	2.0234e-06	4.648	9.4047e-06	4.3531e-07
-0.05	1.0537e-06	5.2232	5.5034e-06	2.0173e-07
0	1e-08	13.929	1.3929e-07	7.1792e-10
0.05	1.2793e-06	4.9695	6.3573e-06	2.5742e-07
0.1	2.5953e-06	4.8782	1.266e-05	5.3201e-07
0.15	3.9699e-06	4.6782	1.8572e-05	8.486e-07
0.2	5.7195e-06	4.6524	2.6609e-05	1.2294e-06
0.25	7.2488e-06	4.3257	3.1356e-05	1.6757e-06
0.3	1.0093e-05	4.7343	4.7782e-05	2.1319e-06
0.35	1.2667e-05	4.6786	5.9262e-05	2.7074e-06
0.4	1.5981e-05	4.6735	7.4687e-05	3.4195e-06
0.45	1.9838e-05	4.6804	9.2851e-05	4.2387e-06
0.5	2.5133e-05	4.66	0.00011712	5.3934e-06
