voltage_11	absJ_11	J_11	current_11	time_11	
0.000000E+0	6.963124E-8	-6.963124E-8	-2.328693E-13	0.000000E+0
5.000000E-2	3.563413E-4	3.563413E-4	1.191720E-9	6.728516E-1
1.000000E-1	7.425902E-4	7.425902E-4	2.483461E-9	7.910156E-1
1.500000E-1	1.124797E-3	1.124797E-3	3.761682E-9	9.091797E-1
2.000000E-1	1.691767E-3	1.691767E-3	5.657814E-9	1.026367E+0
2.500000E-1	1.950051E-3	1.950051E-3	6.521599E-9	1.144531E+0
3.000000E-1	2.662655E-3	2.662655E-3	8.904777E-9	1.262695E+0
3.500000E-1	3.116844E+4	3.116844E+4	1.042373E-1	1.750977E+0
4.000000E-1	3.139515E+4	3.139515E+4	1.049955E-1	1.869141E+0
4.500000E-1	3.139518E+4	3.139518E+4	1.049956E-1	1.987305E+0
5.000000E-1	3.139524E+4	3.139524E+4	1.049958E-1	2.105469E+0
5.000000E-1	3.139527E+4	3.139527E+4	1.049959E-1	2.223633E+0
4.500000E-1	3.139527E+4	3.139527E+4	1.049959E-1	2.341797E+0
4.000000E-1	3.139530E+4	3.139530E+4	1.049960E-1	2.459961E+0
3.500000E-1	3.139533E+4	3.139533E+4	1.049961E-1	2.578125E+0
3.000000E-1	3.139527E+4	3.139527E+4	1.049959E-1	2.696289E+0
2.500000E-1	3.053839E+4	3.053839E+4	1.021302E-1	2.813477E+0
2.000000E-1	2.461940E+4	2.461940E+4	8.233522E-2	2.931641E+0
1.500000E-1	1.856335E+4	1.856335E+4	6.208181E-2	3.049805E+0
1.000000E-1	1.242623E+4	1.242623E+4	4.155731E-2	3.167969E+0
5.000000E-2	6.217640E+3	6.217640E+3	2.079379E-2	3.286133E+0
0.000000E+0	4.670633E+0	-4.670633E+0	-1.562010E-5	3.525391E+0
-5.000000E-2	6.239198E+3	-6.239198E+3	-2.086589E-2	3.765625E+0
-1.000000E-1	1.237854E+4	-1.237854E+4	-4.139784E-2	3.883789E+0
-1.500000E-1	1.843587E+4	-1.843587E+4	-6.165548E-2	4.001953E+0
-2.000000E-1	2.433921E+4	-2.433921E+4	-8.139817E-2	4.120117E+0
-2.500000E-1	3.008998E+4	-3.008998E+4	-1.006306E-1	4.238281E+0
-3.000000E-1	3.139590E+4	-3.139590E+4	-1.049980E-1	4.355469E+0
-3.500000E-1	3.139605E+4	-3.139605E+4	-1.049985E-1	4.473633E+0
-4.000000E-1	3.139611E+4	-3.139611E+4	-1.049987E-1	4.591797E+0
-4.500000E-1	3.139620E+4	-3.139620E+4	-1.049990E-1	4.709961E+0
-5.000000E-1	3.139626E+4	-3.139626E+4	-1.049992E-1	4.828125E+0
-5.000000E-1	3.139626E+4	-3.139626E+4	-1.049992E-1	4.946289E+0
-4.500000E-1	3.139632E+4	-3.139632E+4	-1.049994E-1	5.064453E+0
-4.000000E-1	3.139629E+4	-3.139629E+4	-1.049993E-1	5.182617E+0
-3.500000E-1	3.139641E+4	-3.139641E+4	-1.049997E-1	5.300781E+0
-3.000000E-1	3.139635E+4	-3.139635E+4	-1.049995E-1	5.418945E+0
-2.500000E-1	3.139641E+4	-3.139641E+4	-1.049997E-1	5.537109E+0
-2.000000E-1	3.139650E+4	-3.139650E+4	-1.050000E-1	5.655273E+0
-1.500000E-1	2.944411E+4	-2.944411E+4	-9.847060E-2	5.773438E+0
-1.000000E-1	1.964406E+4	-1.964406E+4	-6.569605E-2	5.891602E+0
-5.000000E-2	9.829209E+3	-9.829209E+3	-3.287204E-2	6.009766E+0
0.000000E+0	3.045699E-3	-3.045699E-3	-1.018580E-8	6.496094E+0
