voltage_8_3_7	absJ_8_3_7	J_8_3_7	current_8_3_7	time_8_3_7	
0.000000E+0	3.650400E-6	3.650400E-6	3.391143E-11	0.000000E+0
5.000000E-2	1.705669E-3	1.705669E-3	1.584530E-8	5.488281E-1
1.000000E-1	3.615296E-3	3.615296E-3	3.358532E-8	6.669922E-1
1.500000E-1	5.683768E-3	5.683768E-3	5.280097E-8	7.851563E-1
2.000000E-1	8.076702E-3	8.076702E-3	7.503081E-8	9.033203E-1
2.500000E-1	1.064807E-2	1.064807E-2	9.891829E-8	1.021484E+0
3.000000E-1	1.280137E-2	1.280137E-2	1.189220E-7	1.384766E+0
3.500000E-1	1.561871E-2	1.561871E-2	1.450944E-7	1.502930E+0
4.000000E-1	1.887590E-2	1.887590E-2	1.753530E-7	1.621094E+0
4.500000E-1	2.263453E-2	2.263453E-2	2.102699E-7	1.739258E+0
5.000000E-1	2.571319E-2	2.571319E-2	2.388700E-7	1.857422E+0
5.000000E-1	2.544759E-2	2.544759E-2	2.364026E-7	1.974609E+0
4.500000E-1	2.226664E-2	2.226664E-2	2.068523E-7	2.092773E+0
4.000000E-1	1.886710E-2	1.886710E-2	1.752713E-7	2.210938E+0
3.500000E-1	1.565941E-2	1.565941E-2	1.454725E-7	2.329102E+0
3.000000E-1	1.253346E-2	1.253346E-2	1.164331E-7	2.447266E+0
2.500000E-1	1.006214E-2	1.006214E-2	9.347509E-8	2.688477E+0
2.000000E-1	7.351480E-3	7.351480E-3	6.829366E-8	2.806641E+0
1.500000E-1	5.295964E-3	5.295964E-3	4.919836E-8	2.923828E+0
1.000000E-1	3.293128E-3	3.293128E-3	3.059245E-8	3.041992E+0
5.000000E-2	1.576296E-3	1.576296E-3	1.464345E-8	3.160156E+0
0.000000E+0	4.460258E-6	4.460258E-6	4.143483E-11	3.841797E+0
-5.000000E-2	1.551921E-3	-1.551921E-3	-1.441701E-8	4.391602E+0
-1.000000E-1	3.164019E-3	-3.164019E-3	-2.939305E-8	4.509766E+0
-1.500000E-1	4.833617E-3	-4.833617E-3	-4.490326E-8	4.627930E+0
-2.000000E-1	6.546787E-3	-6.546787E-3	-6.081824E-8	4.746094E+0
-2.500000E-1	8.312962E-3	-8.312962E-3	-7.722562E-8	4.863281E+0
-3.000000E-1	1.034681E-2	-1.034681E-2	-9.611962E-8	4.981445E+0
-3.500000E-1	1.288662E-2	-1.288662E-2	-1.197139E-7	5.345703E+0
-4.000000E-1	1.481369E-2	-1.481369E-2	-1.376160E-7	5.463867E+0
-4.500000E-1	1.716607E-2	-1.716607E-2	-1.594691E-7	5.582031E+0
-5.000000E-1	1.918243E-2	-1.918243E-2	-1.782006E-7	5.699219E+0
-5.000000E-1	1.902362E-2	-1.902362E-2	-1.767253E-7	5.817383E+0
-4.500000E-1	1.653550E-2	-1.653550E-2	-1.536112E-7	5.935547E+0
-4.000000E-1	1.450901E-2	-1.450901E-2	-1.347856E-7	6.053711E+0
-3.500000E-1	1.254494E-2	-1.254494E-2	-1.165398E-7	6.171875E+0
-3.000000E-1	1.065727E-2	-1.065727E-2	-9.900378E-8	6.413086E+0
-2.500000E-1	8.681261E-3	-8.681261E-3	-8.064704E-8	6.531250E+0
-2.000000E-1	6.810200E-3	-6.810200E-3	-6.326528E-8	6.648438E+0
-1.500000E-1	4.947102E-3	-4.947102E-3	-4.595751E-8	6.766602E+0
-1.000000E-1	3.252904E-3	-3.252904E-3	-3.021877E-8	6.884766E+0
-5.000000E-2	1.627106E-3	-1.627106E-3	-1.511546E-8	7.002930E+0
0.000000E+0	4.752538E-6	4.752538E-6	4.415005E-11	7.684570E+0
0.000000E+0	1.708732E-6	1.708732E-6	1.587375E-11	8.298828E+0
5.000000E-2	1.687771E-3	1.687771E-3	1.567903E-8	8.848633E+0
1.000000E-1	3.538326E-3	3.538326E-3	3.287028E-8	8.966797E+0
1.500000E-1	5.599784E-3	5.599784E-3	5.202078E-8	9.083984E+0
2.000000E-1	8.004441E-3	8.004441E-3	7.435953E-8	9.202148E+0
2.500000E-1	1.054868E-2	1.054868E-2	9.799497E-8	9.320313E+0
3.000000E-1	1.276383E-2	1.276383E-2	1.185732E-7	9.684570E+0
3.500000E-1	1.582095E-2	1.582095E-2	1.469732E-7	9.802734E+0
4.000000E-1	2.027210E-2	2.027210E-2	1.883234E-7	9.919922E+0
4.500000E-1	2.354765E-2	2.354765E-2	2.187526E-7	1.003809E+1
5.000000E-1	2.730556E-2	2.730556E-2	2.536628E-7	1.015625E+1
5.000000E-1	2.636349E-2	2.636349E-2	2.449111E-7	1.027441E+1
4.500000E-1	2.230098E-2	2.230098E-2	2.071713E-7	1.039258E+1
4.000000E-1	1.865993E-2	1.865993E-2	1.733467E-7	1.050977E+1
3.500000E-1	1.548404E-2	1.548404E-2	1.438434E-7	1.062793E+1
3.000000E-1	1.241982E-2	1.241982E-2	1.153774E-7	1.074609E+1
2.500000E-1	9.769151E-3	9.769151E-3	9.075330E-8	1.098730E+1
2.000000E-1	7.395920E-3	7.395920E-3	6.870650E-8	1.110547E+1
1.500000E-1	5.318593E-3	5.318593E-3	4.940858E-8	1.122363E+1
1.000000E-1	3.419605E-3	3.419605E-3	3.176739E-8	1.134180E+1
5.000000E-2	1.621067E-3	1.621067E-3	1.505936E-8	1.145996E+1
0.000000E+0	3.219081E-6	3.219081E-6	2.990456E-11	1.214160E+1
-5.000000E-2	1.550674E-3	-1.550674E-3	-1.440543E-8	1.269141E+1
-1.000000E-1	3.173609E-3	-3.173609E-3	-2.948214E-8	1.280957E+1
-1.500000E-1	4.823670E-3	-4.823670E-3	-4.481085E-8	1.292773E+1
